"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"7134";"T001038";"GM0651";"2018JJ00";""
"7135";"T001038";"GM0651";"2019JJ00";""
"7136";"T001038";"GM0651";"2020JJ00";""
"7191";"T001038";"GM0744";"2014JJ00";"    6599"
"7192";"T001038";"GM0744";"2015JJ00";"    6611"
"7193";"T001038";"GM0744";"2016JJ00";"    6657"
"7194";"T001038";"GM0744";"2017JJ00";"    6799"
"7195";"T001038";"GM0744";"2018JJ00";"    6847"
"7196";"T001038";"GM0744";"2019JJ00";"    6859"
"7197";"T001038";"GM0744";"2020JJ00";"    6899"
"7252";"T001038";"GM0308";"2014JJ00";"   24406"
"7253";"T001038";"GM0308";"2015JJ00";"   24521"
"7254";"T001038";"GM0308";"2016JJ00";"   24529"
"7255";"T001038";"GM0308";"2017JJ00";"   24630"
"7256";"T001038";"GM0308";"2018JJ00";"   24767"
"7257";"T001038";"GM0308";"2019JJ00";"   24868"
"7258";"T001038";"GM0308";"2020JJ00";"   24792"
"7313";"T001038";"GM0886";"2014JJ00";""
"7314";"T001038";"GM0886";"2015JJ00";""
"7315";"T001038";"GM0886";"2016JJ00";""
"7316";"T001038";"GM0886";"2017JJ00";""
"7317";"T001038";"GM0886";"2018JJ00";""
"7318";"T001038";"GM0886";"2019JJ00";""
"7319";"T001038";"GM0886";"2020JJ00";""
"7374";"T001038";"GM0004";"2014JJ00";""
"7375";"T001038";"GM0004";"2015JJ00";""
"7376";"T001038";"GM0004";"2016JJ00";""
"7377";"T001038";"GM0004";"2017JJ00";""
"7378";"T001038";"GM0004";"2018JJ00";""
"7379";"T001038";"GM0004";"2019JJ00";""
"7380";"T001038";"GM0004";"2020JJ00";""
"7435";"T001038";"GM0745";"2014JJ00";""
"7436";"T001038";"GM0745";"2015JJ00";""
"7437";"T001038";"GM0745";"2016JJ00";""
"7438";"T001038";"GM0745";"2017JJ00";""
"7439";"T001038";"GM0745";"2018JJ00";""
"7440";"T001038";"GM0745";"2019JJ00";""
"7441";"T001038";"GM0745";"2020JJ00";""
"7496";"T001038";"GM1246";"2014JJ00";""
"7497";"T001038";"GM1246";"2015JJ00";""
"7498";"T001038";"GM1246";"2016JJ00";""
"7499";"T001038";"GM1246";"2017JJ00";""
"7500";"T001038";"GM1246";"2018JJ00";""
"7501";"T001038";"GM1246";"2019JJ00";""
"7502";"T001038";"GM1246";"2020JJ00";""
"7557";"T001038";"GM0489";"2014JJ00";"   47521"
"7558";"T001038";"GM0489";"2015JJ00";"   47861"
"7559";"T001038";"GM0489";"2016JJ00";"   48344"
"7560";"T001038";"GM0489";"2017JJ00";"   48477"
"7561";"T001038";"GM0489";"2018JJ00";"   48673"
"7562";"T001038";"GM0489";"2019JJ00";"   48714"
"7563";"T001038";"GM0489";"2020JJ00";"   48643"
"7618";"T001038";"GM0203";"2014JJ00";"   54703"
"7619";"T001038";"GM0203";"2015JJ00";"   55441"
"7620";"T001038";"GM0203";"2016JJ00";"   56376"
"7621";"T001038";"GM0203";"2017JJ00";"   57339"
"7622";"T001038";"GM0203";"2018JJ00";"   57971"
"7623";"T001038";"GM0203";"2019JJ00";"   59082"
"7624";"T001038";"GM0203";"2020JJ00";"   59992"
"7679";"T001038";"GM0062";"2014JJ00";""
"7680";"T001038";"GM0062";"2015JJ00";""
"7681";"T001038";"GM0062";"2016JJ00";""
"7682";"T001038";"GM0062";"2017JJ00";""
"7683";"T001038";"GM0062";"2018JJ00";""
"7684";"T001038";"GM0062";"2019JJ00";""
"7685";"T001038";"GM0062";"2020JJ00";""
"7740";"T001038";"GM0369";"2014JJ00";""
"7741";"T001038";"GM0369";"2015JJ00";""
"7742";"T001038";"GM0369";"2016JJ00";""
"7743";"T001038";"GM0369";"2017JJ00";""
"7744";"T001038";"GM0369";"2018JJ00";""
"7745";"T001038";"GM0369";"2019JJ00";""
"7746";"T001038";"GM0369";"2020JJ00";""
"7801";"T001038";"GM1017";"2014JJ00";""
"7802";"T001038";"GM1017";"2015JJ00";""
"7803";"T001038";"GM1017";"2016JJ00";""
"7804";"T001038";"GM1017";"2017JJ00";""
"7805";"T001038";"GM1017";"2018JJ00";""
"7806";"T001038";"GM1017";"2019JJ00";""
"7807";"T001038";"GM1017";"2020JJ00";""
"7862";"T001038";"GM0204";"2014JJ00";""
"7863";"T001038";"GM0204";"2015JJ00";""
"7864";"T001038";"GM0204";"2016JJ00";""
"7865";"T001038";"GM0204";"2017JJ00";""
"7866";"T001038";"GM0204";"2018JJ00";""
"7867";"T001038";"GM0204";"2019JJ00";""
"7868";"T001038";"GM0204";"2020JJ00";""
"7923";"T001038";"GM0144";"2014JJ00";""
"7924";"T001038";"GM0144";"2015JJ00";""
"7925";"T001038";"GM0144";"2016JJ00";""
"7926";"T001038";"GM0144";"2017JJ00";""
"7927";"T001038";"GM0144";"2018JJ00";""
"7928";"T001038";"GM0144";"2019JJ00";""
"7929";"T001038";"GM0144";"2020JJ00";""
"7984";"T001038";"GM0005";"2014JJ00";"   10441"
